date,scheme_code,scheme_name,nav
2017-02-20,100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,360.44
2017-02-20,100034,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,97.93
2017-02-20,100037,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,12.984
2017-02-20,100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,72.1505
2017-02-20,100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,108.023
2017-02-20,100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),419.7998
2017-02-20,100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),430.8012
2017-02-20,100044,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,163.694
2017-02-20,100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,100.195
2017-02-20,100047,Aditya Birla Sun Life Liquid Fund - Growth,258.6934
2017-02-20,100048,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,108.126
2017-02-20,100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,100.2788
2017-02-20,100057,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,10.3144
2017-02-20,100058,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,45.046
2017-02-20,100060,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Regular Plan,12.4896
2017-02-20,100061,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Regular Plan,48.7813
2017-02-20,100063,Aditya Birla Sun Life MNC Fund - Regular - IDCW,147.6
2017-02-20,100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,591.27
2017-02-20,100065,Aditya Birla Sun Life India Opportunities Fund - Dividend - Regular Plan,27.42
2017-02-20,100066,Aditya Birla Sun Life India Opportunities Fund - Growth - Regular Plan,121.55
2017-02-20,100067,Aditya Birla Sun Life Tax Plan -Regular - IDCW,77.57
2017-02-20,100068,BARODA ELSS 96 - Plan A - IDCW,31.35
2017-02-20,100077,DSP Bond Fund - IDCW,11.6025
2017-02-20,100078,DSP Bond Fund - Growth,51.1435
2017-02-20,100079,DSP Bond Fund - IDCW - Monthly,10.7056
2017-02-20,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,58.93
2017-02-20,100081,DSP Aggressive Hybrid Fund- Regular Plan - Growth,128.145
2017-02-20,100082,DSP Aggressive Hybrid Fund- Regular Plan - IDCW,24.52
2017-02-20,100084,DSP Gilt Fund - Regular Plan - Growth,52.6913
2017-02-20,100085,DSP Gilt Fund - Regular Plan - IDCW,11.9458
2017-02-20,100086,DSP Gilt Fund - Regular Plan - IDCW - Monthly,10.2166
2017-02-20,100087,DSP Savings Fund - Regular Plan - Growth,31.9
2017-02-20,100088,DSP Savings Fund - Regular Plan - IDCW,11.9252
2017-02-20,100089,DSP Savings Fund - Regular Plan - IDCW - Monthly,10.5745
2017-02-20,100090,DSP BlackRock Technology.com   Fund - Regular Plan - Growth,49.758
2017-02-20,100119,HDFC Balanced Advantage Fund - Growth Plan,154.059
2017-02-20,100120,HDFC Balanced Advantage Fund - IDCW Plan,31.572
2017-02-20,100121,HDFC Balanced Fund - Dividend Option,28.85
2017-02-20,100122,HDFC Balanced Fund - Growth Option,126.79
2017-02-20,100123,HDFC Income Fund - Quarterly IDCW Option,11.128
2017-02-20,100124,HDFC Income Fund - Growth Option,36.9105
2017-02-20,100152,Principal Nifty 100 Equal Weight Fund-Income Distribution CUM Capital Withdrawal,36.0309
2017-02-20,100153,Principal Nifty 100 Equal Weight Fund-Growth,61.3063
2017-02-20,100156,Principal Tax Savings Fund,166.23
2017-02-20,100171,Quant Dynamic Bond-Dividend,11.2767
2017-02-20,100172,Quant Dynamic Bond-Growth,54.1082
2017-02-20,100173,Quant Dynamic Bond-Bonus,28.4543
2017-02-20,100174,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan,14.4539
2017-02-20,100175,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,76.7754
2017-02-20,100176,quant Small Cap Fund - IDCW Option - Regular Plan,39.67
2017-02-20,100177,quant Small Cap Fund - Growth - Regular Plan,48.5296
2017-02-20,100218,JM Large Cap Fund (Regular) - IDCW,23.1663
2017-02-20,100219,JM Large Cap Fund (Regular) - Growth Option,56.9113
2017-02-20,100220,JM Aggressive Hybrid Fund (Regular) - IDCW,11.257
2017-02-20,100221,JM Aggressive Hybrid Fund (Regular) -Growth Option,40.247
2017-02-20,100222,JM Medium to Long Duration Fund (Regular) - Quarterly IDCW,15.3005
2017-02-20,100223,JM Medium to Long Duration Fund (Regular) - Growth Option,45.0007
2017-02-20,100233,JM Liquid Fund (Regular) - Weekly IDCW,11.0152
2017-02-20,100234,JM Liquid Fund - Growth Option,44.0435
2017-02-20,100244,JM Liquid Fund (Regular) - Quarterly IDCW,24.9288
2017-02-20,100247,JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,25.3259
2017-02-20,100249,JM G-Sec Fund - Quarterly Dividend Option,23.9924
2017-02-20,100250,JM G-Sec Fund - Growth Option,52.4963
2017-02-20,100253,JM G-Sec Fund - Bonus Option - Principal Units,25.5391
2017-02-20,100254,JM Value Fund (Regular) - Growth Option,26.7369
2017-02-20,100264,Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option,12.7495
2017-02-20,100265,Kotak Gilt-Investment Regular-Growth,55.5111
2017-02-20,100280,Kotak Gilt-Investment  Provident Fund and Trust-Payout of Income Distribution cum capital withdrawal option,11.3975
2017-02-20,100281,Kotak Gilt-Investment  Provident Fund and Trust-Growth,56.7911
2017-02-20,100286,Kotak Aggressive Hybrid Fund - Regular Plan - IDCW - Payout & Reinvestment of Income Distribution cum capital withdrawal option,16.335
2017-02-20,100298,Kotak Bond Regular Plan Quaterly Payout of Income Distribution cum capital withdrawal option,10.7075
2017-02-20,100299,Kotak Bond Fund - Regular Plan Growth,45.6294
2017-02-20,100300,Kotak Bond Fund - Regular Plan - Standard IDCW Option,27.9556
2017-02-20,100312,LIC MF Flexi Cap Fund-Regular Plan-IDCW,13.6282
2017-02-20,100313,LIC MF Flexi Cap Fund-Regular Plan-Growth,41.6412
2017-02-20,100314,LIC MF Medium to Long Duration Fund-Regular Plan-IDCW,10.6125
2017-02-20,100315,LIC MF Medium to Long Duration Fund-Regular Plan-Growth,44.1187
2017-02-20,100316,LIC MF Gilt Fund-Regular Plan-IDCW,10.824
2017-02-20,100317,LIC MF Gilt Fund-Regular Plan-Growth,35.5207
2017-02-20,100318,LIC MF Gilt Fund-PF Plan-IDCW,13.2814
2017-02-20,100319,LIC MF Gilt Fund-PF Plan-Growth,20.5246
2017-02-20,100321,LIC MF Aggressive Hybrid Fund-Regular Plan-IDCW,14.8069
2017-02-20,100323,LIC MF Aggressive Hybrid Fund-Regular Plan-Growth,89.3685
2017-02-20,100325,LIC MF ULIS (5 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment,15.1918
2017-02-20,100332,LIC MF Large Cap Fund-Regular Plan-IDCW,16.0138
2017-02-20,100337,SaharaTax Gain-Dividend,15.6528
2017-02-20,100338,SaharaTax Gain-Growth,66.8285
2017-02-20,100348,ICICI Prudential Large & Mid Cap Fund - IDCW,19.11
2017-02-20,100349,ICICI Prudential Large & Mid Cap Fund - Growth,285.3
2017-02-20,100351,ICICI Prudential FMCG Fund - IDCW,64.56
2017-02-20,100352,ICICI Prudential FMCG Fund - Growth,179.42
2017-02-20,100353,ICICI Prudential ELSS Tax Saver Fund - IDCW,24.94
2017-02-20,100354,ICICI Prudential ELSS Tax Saver Fund - Growth,307.53
2017-02-20,100355,ICICI Prudential Equity & Debt Fund - Monthly IDCW,24.47
2017-02-20,100356,ICICI Prudential Equity & Debt Fund - Growth,112.1
2017-02-20,100357,ICICI Prudential Liquid Fund -Quarterly IDCW,101.3123
2017-02-20,100359,ICICI Prudential Liquid Institutional Plus Fund - Div - Daily,118.5152
2017-02-20,100363,ICICI Prudential Technology Fund - Growth,40.1
2017-02-20,100364,ICICI Prudential Long Term Bond Fund - Half Yearly IDCW,11.0198
2017-02-20,100365,ICICI Prudential Long Term Bond Fund - Growth,51.3792
2017-02-20,100366,ICICI Prudential Long Term Bond Fund-Institutional Quarterly Dividend,11.1085
2017-02-20,100367,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,11.7073
2017-02-20,100368,ICICI Prudential Gilt Fund - IDCW,11.7655
